hhsize,able,rec_attended_school,rec_age,dist_food_market,imp_dich,future1yr,asst_idx,lvstk_idx,prod_idx,any_savings,qsn,HF1,HF2,HF3
6,2,,40,,Never willing to wait,1,1.1414499,0,.50030637,1,1033,0,0,0
10,5,,50,,Willing to wait at least once,1,1.7123407,.27871555,.75171131,1,1034,0,0,0
6,3,,29,,Willing to wait at least once,1,1.2609427,0,.71846193,1,1035,0,1,0
9,2,,29,,Never willing to wait,1,1.1643239,.95826024,1.6218599,1,1037,0,0,0
7,1,,40,,Willing to wait at least once,0,0,.077292271,1.1088715,0,1038,0,0,0
6,2,,33,,Willing to wait at least once,1,.72045487,.9859665,.60697192,0,1040,0,0,0
5,2,,27,,Willing to wait at least once,1,.74841726,.44629022,.66435027,1,1041,0,0,0
6,2,,32,,Never willing to wait,1,.75847036,.79089421,1.0815412,0,1042,0,0,0
6,2,,26,,Willing to wait at least once,1,.14779887,.45562184,.80509818,0,1043,1,0,1
6,2,,32,,Willing to wait at least once,1,.30845001,0,.60697192,0,1072,0,0,1
5,3,,52,,Willing to wait at least once,1,.14779887,0,.60697192,0,1075,0,0,0
3,2,,29,,Willing to wait at least once,0,0,0,.93894076,0,1076,0,0,0
9,3,,44,,Willing to wait at least once,0,.14779887,.077292271,.60697192,0,1077,0,0,0
5,2,,31,,Willing to wait at least once,1,1.7131747,1.1651785,1.0836654,0,1078,0,0,1
5,2,,44,,Willing to wait at least once,0,.57486361,.52283883,1.2214605,1,1080,1,1,1
7,2,,39,,Willing to wait at least once,1,.7573058,1.3623713,1.7612575,0,1081,0,0,1
10,2,,38,,Never willing to wait,1,.37101221,0,1.0492029,0,1082,0,0,0
3,1,,28,,Never willing to wait,1,.3873291,.5897727,.60697192,0,1083,0,0,0
5,2,,35,,Willing to wait at least once,1,1.4690915,1.2140847,1.1309961,0,1084,1,1,0
11,3,,46,,Willing to wait at least once,1,1.1587967,1.1256405,.99343777,1,1086,0,0,0
8,2,,33,,Willing to wait at least once,1,.54862666,0,.89744425,1,1087,0,0,0
5,2,,27,,Never willing to wait,1,.6111787,1.0620096,.75307322,1,1088,0,0,0
4,1,,60,,Never willing to wait,1,1.1909678,.25077447,.71846193,0,1089,0,0,0
5,2,,35,,Willing to wait at least once,1,1.0568796,0,.92646497,0,1090,0,1,0
5,1,,32,,Never willing to wait,0,.14779887,.44629022,.52514178,0,1091,0,0,0
6,2,,27,,Never willing to wait,0,.37101221,0,.60697192,0,1092,0,0,0
3,2,,28,,Willing to wait at least once,1,.59400934,0,.80509818,1,1093,0,0,0
8,1,,38,,Willing to wait at least once,1,0,0,.71846193,0,1094,0,0,0
7,2,,42,,Willing to wait at least once,0,0,0,.50030637,0,1095,0,1,0
6,2,,44,,Willing to wait at least once,1,.59400934,0,.60697192,0,1096,0,0,0
3,2,1,24,,Willing to wait at least once,0,.14779887,0,.75171131,0,1097,0,1,0
6,3,,49,,Willing to wait at least once,1,.14779887,0,.71846193,1,1098,0,0,0
5,2,,45,,Willing to wait at least once,1,.14779887,0,.60697192,0,1099,0,0,0
5,2,,34,,Willing to wait at least once,1,.87170422,0,.60697192,1,1100,0,0,0
4,2,,29,,Willing to wait at least once,1,.14779887,0,.60697192,0,1101,0,0,0
8,4,,25,,Willing to wait at least once,1,.076627567,0,.62360156,1,1102,0,0,0
7,2,,46,,Willing to wait at least once,1,0,0,.89744425,0,1103,0,0,0
5,2,,31,,Willing to wait at least once,1,0,0,.50030637,1,1106,0,0,0
6,1,,38,,Willing to wait at least once,1,.5630551,0,.98197877,0,1108,0,0,0
6,2,,35,,Willing to wait at least once,1,0,0,.98197877,0,1109,0,0,1
3,1,,28,,Willing to wait at least once,0,.076627567,0,.48147386,0,1110,0,0,0
6,2,,25,,Willing to wait at least once,1,0,0,.50030637,1,1112,0,0,0
3,1,1,24,,Willing to wait at least once,0,.4399831,.21597672,.60697192,1,1113,0,0,0
5,2,,34,,Willing to wait at least once,0,.3873291,0,.60697192,0,1114,0,0,0
6,2,,41,,Willing to wait at least once,1,.34913072,.67513299,1.0599209,0,1115,0,0,0
7,3,,53,,Willing to wait at least once,1,.76520294,0,.71846193,1,1116,0,0,0
3,1,,31,,Willing to wait at least once,1,0,0,.35964283,0,1117,1,0,1
6,2,,25,,Willing to wait at least once,0,0,0,.60697192,0,1118,0,0,0
5,2,,41,,Never willing to wait,1,.51664227,0,.60697192,0,1119,0,0,0
5,1,,33,,Willing to wait at least once,1,0,0,.50030637,1,1120,0,1,0
2,1,,42,,Never willing to wait,0,.2913214,0,.19590285,0,1181,0,1,0
3,1,,32,,Willing to wait at least once,0,.076627567,0,.19590285,0,1186,1,1,0
10,5,,48,,Willing to wait at least once,1,.36373544,.27871555,.92221779,1,1187,0,0,0
10,4,,42,,Willing to wait at least once,0,.55332524,0,1.1747286,0,1189,0,0,0
6,2,,40,,Willing to wait at least once,1,.52900833,.21597672,1.1309961,1,1190,0,0,1
6,2,,40,,Never willing to wait,0,.34913072,0,.80509818,0,1191,0,0,0
5,1,,27,,Willing to wait at least once,1,.86386979,.83307195,1.2617395,1,1193,0,0,0
6,2,,30,,Never willing to wait,1,1.914583,.66786397,1.9389883,1,1194,1,0,1
16,3,,32,,Willing to wait at least once,0,.81555796,1.5986965,1.6905327,0,1197,0,0,0
7,4,,30,,Willing to wait at least once,0,0,0,1.0492029,0,1198,0,0,1
5,2,,29,,Never willing to wait,1,.2913214,0,.60697192,0,1199,0,0,0
7,2,,25,,Willing to wait at least once,1,1.2334766,.80409151,1.4469509,1,1202,0,1,0
8,2,,35,,Never willing to wait,0,.59400934,0,1.198503,0,1204,0,0,0
9,4,,43,,Willing to wait at least once,0,.48094887,.52283883,1.2203314,0,1205,0,0,0
6,1,,47,,Never willing to wait,0,.14779887,0,.35964283,0,1265,0,0,0
9,4,,43,,Never willing to wait,0,.14779887,0,.62360156,0,1266,0,0,0
5,2,,29,,Willing to wait at least once,0,.34913072,0,.89744425,0,1267,0,0,0
8,2,,35,,Willing to wait at least once,0,.21423963,0,.89744425,0,1269,0,0,0
3,0,,67,,Willing to wait at least once,0,0,0,1.0662395,1,1271,0,0,1
4,2,,27,,Willing to wait at least once,0,.14779887,0,.60697192,0,1273,0,0,0
8,3,,28,,Never willing to wait,0,.21423963,0,.62360156,0,1274,0,0,0
6,1,,32,,Willing to wait at least once,0,.40377998,0,1.0599209,1,1275,0,0,1
4,2,,28,,Willing to wait at least once,1,.076627567,0,.35964283,1,1276,0,0,0
10,3,,42,,Never willing to wait,0,.21423963,0,.62360156,0,1278,0,0,0
9,5,,43,,Willing to wait at least once,1,.076627567,0,.73335016,0,1279,0,0,0
4,2,,31,,Willing to wait at least once,1,.14779887,0,.98197877,0,1280,0,0,0
6,3,,43,,Willing to wait at least once,0,.14779887,0,.35964283,0,1282,0,0,0
8,3,,58,,Never willing to wait,0,.21423963,0,.50030637,1,1284,0,0,0
